2.396599999999999842e+00 7.840716698387785931e-91 2.759009595048824353e-97 1.054338334499410509e-99 2.631409715388926222e-98 1.023044612730470374e-97 9.799545256356106906e-98
2.398307853926963329e+00 1.553454009573415391e-90 5.466934826792391061e-97 2.090009696729216529e-99 5.216903370383873193e-98 2.028431839159812460e-97 1.943009212269944921e-97
2.400015707853926816e+00 3.074220083353198482e-90 1.082003042896791361e-96 4.138189956223672944e-99 1.033072714558372456e-97 4.017168150151670795e-97 3.848022053596485145e-97
2.401723561780890304e+00 6.076666853754604627e-90 2.138981199933453459e-96 8.184013940942622165e-99 2.043350031922427168e-97 7.946453533208367788e-97 7.611916236201536048e-97
2.403431415707853791e+00 1.199747396315259376e-89 4.223566654473784867e-96 1.616650404102734836e-98 4.036904035415433294e-97 1.570075116646175600e-96 1.503987420329951731e-96
2.405139269634817278e+00 2.365963943461763853e-89 8.330012188724607319e-96 3.189772325492384782e-98 7.966138641927030578e-97 3.098569615872376972e-96 2.968165833152264502e-96
2.406847123561780766e+00 4.660369426980688278e-89 1.640989570013666004e-95 6.286328500118699034e-98 1.570149746778598247e-96 6.107955009072027158e-96 5.850943085929742149e-96
2.408554977488744253e+00 9.169095249112924364e-89 3.228939470414115733e-95 1.237451746591019283e-97 3.091206827158831744e-96 1.202608155608332167e-95 1.152012892481614598e-95
2.410262831415707740e+00 1.801882805175680495e-88 6.346114243479844878e-95 2.433062631272939420e-97 6.078673700733461839e-96 2.365082003864880992e-95 2.265596466093366890e-95
2.411970685342671228e+00 3.536881543432511636e-88 1.245804132875754152e-94 4.778285754313076738e-97 1.193942400035895583e-95 4.645815999981310732e-95 4.450425452302720413e-95
2.413678539269634715e+00 6.934392271739358483e-88 2.442786703468293972e-94 9.373132606839872168e-97 2.342349496326039311e-95 9.115312240901429717e-95 8.732010621847593898e-95
2.415386393196598203e+00 1.357970118542638237e-87 4.784264989530844721e-94 1.836501203965099978e-96 4.590011688748843894e-95 1.786384066822130927e-94 1.711278649753157358e-94
2.417094247123561690e+00 2.656231598414297712e-87 9.359201631586312575e-94 3.594111003080074345e-96 8.983998332398895406e-95 3.496808627798198058e-94 3.349816060419510322e-94
2.418802101050525177e+00 5.189620267626567628e-87 1.828758171017599911e-93 7.025634731430506400e-96 1.756383338358246270e-94 6.836953638954878271e-94 6.549602453455989751e-94
2.420509954977488665e+00 1.012742744500599022e-86 3.569173450904544846e-93 1.371745230725921959e-95 3.429752085857588944e-94 1.335202528008433367e-93 1.279094614937314594e-93
2.422217808904452152e+00 1.974043039129632941e-86 6.957815786816810184e-93 2.675193263578422393e-95 6.689596502004751790e-94 2.604506211487912273e-93 2.495078140884458798e-93
2.423925662831415639e+00 3.843332965721297903e-86 1.354790357044557860e-92 5.211115222769133859e-95 1.303259474289552828e-93 5.074548285785505898e-93 4.861377899322324592e-93
2.425633516758379127e+00 7.474003934690656740e-86 2.634906235609558644e-92 1.013911385186709404e-94 2.536037268712088480e-93 9.875591583546773046e-93 9.460810915229711663e-93
2.427341370685342614e+00 1.451752392771393050e-85 5.118611068431602776e-92 1.970439628037018478e-94 4.929173951552447266e-93 1.919652380886371343e-92 1.839039647883529332e-92
2.429049224612306102e+00 2.816603380085924122e-85 9.931915027533696102e-92 3.824899914620518302e-94 9.569437937301477871e-93 3.727140821083094072e-92 3.570652371784367906e-92
2.430757078539269589e+00 5.458241649453140930e-85 1.924898156685740215e-91 7.416018875186625497e-94 1.855634708916315064e-92 7.228076667071829018e-92 6.924649521115878200e-92
2.432464932466233076e+00 1.056510309268047054e-84 3.726287977395554664e-91 1.436201531502229979e-93 3.594117867736094116e-92 1.400114125549129672e-91 1.341348944234254475e-91
2.434172786393196564e+00 2.042624970120740850e-84 7.205082718685699037e-91 2.778137598040745175e-93 6.953219102208388069e-92 2.708930492097064158e-91 2.595251757184501906e-91
2.435880640320160051e+00 3.944549872628053323e-84 1.391539132759179690e-90 5.367671455182352521e-93 1.343610174962347794e-91 5.235112557065263018e-91 5.015462213909085463e-91
2.437588494247123538e+00 7.608519945687311226e-84 2.684390998429393404e-90 1.035885862050600835e-92 2.593309932038017152e-91 1.010527001686731999e-90 9.681355740233660655e-91
2.439296348174087026e+00 1.465874644410747798e-83 5.172375195507713298e-90 1.996786776573848489e-92 4.999531765338546336e-91 1.948334666790573951e-90 1.866616671774448405e-90
2.441004202101050513e+00 2.820898107513925753e-83 9.954699702522129240e-90 3.844547965857069837e-92 9.627156012821618640e-91 3.752087257667891941e-90 3.594743012132154853e-90
2.442712056028014000e+00 5.422154439232929027e-83 1.913639835720175185e-89 7.393544317694320322e-92 1.851656636795602562e-90 7.217321258600936121e-90 6.914715263141474976e-90
2.444419909954977488e+00 1.040998933782628489e-82 3.674397515837889659e-89 1.420214301643262069e-91 3.557268695454949994e-90 1.386669233859049483e-89 1.328539585690344969e-89
2.446127763881940975e+00 1.996285274638548491e-82 7.047027571973365225e-89 2.724889447282375331e-91 6.826005793701538436e-90 2.661113864882304703e-89 2.549578815914708650e-89
2.447835617808904463e+00 3.823744269341931118e-82 1.349956264484257228e-88 5.222009960219670420e-91 1.308309219458808835e-89 5.100911282038357218e-89 4.887155174777595446e-89
2.449543471735867950e+00 7.315583846149265170e-82 2.583017343451365892e-88 9.995863287382185982e-91 2.504655027419051662e-89 9.766204560067728617e-89 9.357020032917095889e-89
2.451251325662831437e+00 1.397986774004566177e-81 4.936610259900972305e-88 1.911158569152889306e-90 4.789378939764827176e-89 1.867659051550733803e-88 1.789421837820465017e-88
